l, lp, r, rp
-0.20,44,0.19,50
-0.20,44,0.19,50
-0.20,44,0.19,50
-0.20,44,0.19,50
-0.20,44,0.19,50
-0.20,44,0.19,50
-0.20,44,0.19,50
-0.20,44,0.19,50
-0.20,44,0.19,50
-0.20,44,0.19,50
-0.20,44,0.19,50
-0.20,44,0.19,50
-0.20,44,0.19,50
-0.20,44,0.19,50
-0.20,44,0.19,50
-0.20,44,0.19,50
-0.20,44,0.19,50
-0.20,44,0.19,50
-0.20,44,0.19,50
-0.20,44,0.19,50
-0.20,44,0.19,50
-0.20,44,0.19,50
-0.20,44,0.19,50
-0.20,44,0.19,50
-0.20,44,0.19,50
-0.20,44,0.19,50
-0.20,44,0.21,50
-0.20,44,0.21,50
-0.20,44,0.21,50
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.21,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,46
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.20,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
-0.20,42,0.19,47
